run,symbol,entry_date,entry_price,exit_date,exit_price,qty,exit_reason
ml_net,BASF,2025-08-29T00:00:00+00:00,4609.4,2025-09-12T00:00:00+00:00,4616.1,10,rank_dropout
ml_net,ABFRL,2025-09-05T00:00:00+00:00,85.92,2025-09-12T00:00:00+00:00,88.38,459,rank_dropout
ml_net,FIRSTCRY,2025-08-14T00:00:00+00:00,370.45,2025-09-19T00:00:00+00:00,390.15,134,rank_dropout
ml_net,SYRMA,2025-09-05T00:00:00+00:00,831.25,2025-09-19T00:00:00+00:00,827.55,60,rank_dropout
ml_net,NEULANDLAB,2025-09-05T00:00:00+00:00,14459,2025-09-19T00:00:00+00:00,15467,3,rank_dropout
ml_net,AIIL,2025-07-18T00:00:00+00:00,560.96,2025-09-26T00:00:00+00:00,593.1,89,rank_dropout
ml_net,TANLA,2025-09-19T00:00:00+00:00,753.7,2025-09-26T00:00:00+00:00,693.3,64,rank_dropout
ml_net,ABFRL,2025-09-19T00:00:00+00:00,92.11,2025-09-26T00:00:00+00:00,84.9,2,rank_dropout
ml_net,IFCI,2025-07-04T00:00:00+00:00,62.58,2025-10-03T00:00:00+00:00,58.15,798,rank_dropout
ml_net,HONASA,2025-08-01T00:00:00+00:00,271.5,2025-10-03T00:00:00+00:00,292.05,184,rank_dropout
ml_net,OLAELEC,2025-08-14T00:00:00+00:00,41.31,2025-10-03T00:00:00+00:00,53.99,1210,rank_dropout
ml_net,KIRLOSENG,2025-08-22T00:00:00+00:00,948.9,2025-10-03T00:00:00+00:00,901.75,52,rank_dropout
ml_net,JSWHL,2025-08-29T00:00:00+00:00,17400,2025-10-03T00:00:00+00:00,15884,2,rank_dropout
ml_net,ANANDRATHI,2025-09-05T00:00:00+00:00,1470.95,2025-10-03T00:00:00+00:00,1436.2,33,rank_dropout
ml_net,RAYMONDLSL,2025-09-12T00:00:00+00:00,1321.9,2025-10-03T00:00:00+00:00,1163.9,37,rank_dropout
ml_net,NAVA,2025-09-19T00:00:00+00:00,717.3,2025-10-03T00:00:00+00:00,652.15,69,rank_dropout
ml_net,SCI,2025-09-26T00:00:00+00:00,225.45,2025-10-03T00:00:00+00:00,228.61,208,rank_dropout
ml_net,ADANIGREEN,2025-09-12T00:00:00+00:00,981.7,2025-10-10T00:00:00+00:00,1064.3,38,rank_dropout
ml_net,ADANIPOWER,2025-09-26T00:00:00+00:00,146.25,2025-10-10T00:00:00+00:00,149.7,341,rank_dropout
