Report Title,Tradebook report,,,,,,,,
Date Range,REDACTED (merged export),,,,,,,,
Client Name,REDACTED,,,,,,,,
Client ID,REDACTED,,,,,,,,
PAN,REDACTED,,,,,,,,
Download Timestamp,REDACTED,,,,,,,,
,,,,,,,,,
Name,Date & time,Side,Product type,Qty,Traded price,Total value,Segment,Exchange order ID,OMS order ID
NIFTY2672124150CE,"15 Jul 2026, 09:20:02 AM",BUY,Intraday,65.00,159.95,"10,396.75",Derivatives,REDACTED,REDACTED
NIFTY2672124150CE,"15 Jul 2026, 09:31:28 AM",SELL,Intraday,65.00,191.15,"12,424.75",Derivatives,REDACTED,REDACTED
NIFTY2672124150CE,"16 Jul 2026, 09:20:04 AM",BUY,Intraday,65.00,144.90,"9,418.50",Derivatives,REDACTED,REDACTED
NIFTY2672124150CE,"16 Jul 2026, 12:58:49 PM",SELL,Intraday,65.00,114.15,"7,419.75",Derivatives,REDACTED,REDACTED
NIFTY2672124200CE,"17 Jul 2026, 09:20:05 AM",BUY,Intraday,65.00,117.15,"7,614.75",Derivatives,REDACTED,REDACTED
NIFTY2672124200CE,"17 Jul 2026, 10:18:25 AM",SELL,Intraday,65.00,151.10,"9,821.50",Derivatives,REDACTED,REDACTED
NIFTY2672124200PE,"20 Jul 2026, 09:25:01 AM",BUY,Intraday,65.00,98.20,"6,383.00",Derivatives,REDACTED,REDACTED
NIFTY2672124200PE,"20 Jul 2026, 12:48:12 PM",SELL,Intraday,65.00,130.55,"8,485.75",Derivatives,REDACTED,REDACTED
NIFTY2672124250PE,"21 Jul 2026, 09:40:02 AM",BUY,Intraday,65.00,59.65,"3,877.25",Derivatives,REDACTED,REDACTED
NIFTY2672124250PE,"21 Jul 2026, 10:38:50 AM",SELL,Intraday,65.00,90.35,"5,872.75",Derivatives,REDACTED,REDACTED
NIFTY26JUL24100PE,"22 Jul 2026, 09:20:06 AM",BUY,Intraday,65.00,172.90,"11,238.50",Derivatives,REDACTED,REDACTED
NIFTY26JUL24100PE,"22 Jul 2026, 09:35:14 AM",SELL,Intraday,65.00,204.30,"13,279.50",Derivatives,REDACTED,REDACTED
NIFTY26JUL23900PE,"23 Jul 2026, 09:20:06 AM",BUY,Intraday,65.00,126.15,"8,199.75",Derivatives,REDACTED,REDACTED
NIFTY26JUL23900PE,"23 Jul 2026, 10:39:23 AM",SELL,Intraday,65.00,95.00,"6,175.00",Derivatives,REDACTED,REDACTED
NIFTY26JUL23750PE,"24 Jul 2026, 09:20:02 AM",BUY,Intraday,65.00,124.20,"8,073.00",Derivatives,REDACTED,REDACTED
NIFTY26JUL23750PE,"24 Jul 2026, 09:36:42 AM",SELL,Intraday,65.00,155.50,"10,107.50",Derivatives,REDACTED,REDACTED
